,VIX,VIX3M,MOVE,HYG,IEF,XLY,XLP,SPX,VIX_TS,HYG_IEF,XLY_XLP,cluster_Vol,cluster_Credit,cluster_Risk_Off,ind_pct_VIX,ind_pct_VIX_TS,ind_pct_MOVE,ind_pct_HYG_IEF,ind_pct_XLY_XLP,regime,max_dd_20d,pre_crash,fwd_5d,fwd_20d,fwd_60d
2019-07-31,16.1200008392334,16.90999984741211,55.25,86.93000030517578,109.87000274658203,60.36000061035156,59.43000030517578,2980.3798828125,0.9532821398399001,0.7912077740243809,1.015648667346461,0.6904761904761905,0.8928571428571429,0.5317460317460317,0.6031746031746031,0.6904761904761905,0.5912698412698413,0.8928571428571429,0.5317460317460317,B_Erhoeht,-0.04689998948199303,False,-0.032344837280534944,-0.031016160704660622,0.010035685860882548
2019-08-01,17.8700008392334,17.989999771118164,64.68000030517578,86.5199966430664,110.91999816894531,59.540000915527344,59.220001220703125,2953.56005859375,0.9933296868587282,0.7800216198280621,1.0054035746070256,0.876984126984127,0.9682539682539683,0.6825396825396826,0.7023809523809523,0.8333333333333334,0.876984126984127,0.9682539682539683,0.6825396825396826,C_Stress,-0.03824535770275905,False,-0.005237736966991147,-0.009811881219218499,0.02335824864425562
2019-08-02,17.610000610351562,17.889999389648438,66.11000061035156,86.38999938964844,111.1500015258789,59.04999923706055,59.22999954223633,2932.050048828125,0.9843488659111476,0.7772379505504043,0.9969609943176274,0.9007936507936508,0.9801587301587301,0.7261904761904762,0.6865079365079365,0.8015873015873016,0.9007936507936508,0.9801587301587301,0.7261904761904762,C_Stress,-0.03118976472056656,False,-0.004570231156091897,-0.0019065458629736742,0.036619386183325275
2019-08-05,24.59000015258789,21.899999618530273,77.23999786376953,85.48999786376953,112.11000061035156,57.46500015258789,57.689998626708984,2844.739990234375,1.122831076754062,0.7625546106354752,0.9960998703505441,0.9920634920634921,0.996031746031746,0.7301587301587302,0.9484126984126984,0.9761904761904762,0.9920634920634921,0.996031746031746,0.7301587301587302,C_Stress,-0.0014552797768290215,False,0.01334391229701537,0.02162940356872678,0.06754568185611887
2019-08-06,20.170000076293945,19.690000534057617,73.91999816894531,86.04000091552734,112.29000091552734,58.34000015258789,58.209999084472656,2881.77001953125,1.0243778328703483,0.7662302984595472,1.0022333116330508,0.9642857142857143,0.9920634920634921,0.7023809523809523,0.8333333333333334,0.8928571428571429,0.9642857142857143,0.9920634920634921,0.7023809523809523,C_Stress,-0.014286331524018259,False,0.015459265842238112,0.019435974899459696,0.057256477401634864
2019-08-07,19.489999771118164,19.5,79.08000183105469,86.02999877929688,112.29000091552734,58.57500076293945,58.88999938964844,2883.97998046875,0.9994871677496494,0.7661412243109238,0.9946510675840768,0.996031746031746,0.9920634920634921,0.75,0.7817460317460317,0.8333333333333334,0.996031746031746,0.9920634920634921,0.75,C_Stress,-0.015041672655941696,False,-0.015041672655941696,0.03190730176854184,0.05325282393258424
2019-08-08,16.90999984741211,17.860000610351562,78.55000305175781,86.37000274658203,112.30000305175781,59.70500183105469,59.650001525878906,2938.090087890625,0.9468084697383023,0.7691006268875618,1.0009220503565606,0.9920634920634921,0.9841269841269842,0.7023809523809523,0.6428571428571429,0.6388888888888888,0.9920634920634921,0.9841269841269842,0.7023809523809523,C_Stress,-0.033181416266363395,False,-0.030798916141928645,0.013825264655529246,0.04384474960440543
2019-08-09,17.969999313354492,18.559999465942383,78.97000122070312,86.25,112.12999725341797,59.14500045776367,59.31999969482422,2918.64990234375,0.9682111977605096,0.769196487226088,0.9970499116999184,0.9920634920634921,0.9801587301587301,0.7142857142857143,0.6944444444444444,0.7420634920634921,0.9920634920634921,0.9801587301587301,0.7142857142857143,C_Stress,-0.026741749541397186,False,-0.010268436333887965,0.020482082914045296,0.05468971014965551
2019-08-12,21.09000015258789,20.5,81.58000183105469,85.94999694824219,112.83999633789062,58.28499984741211,58.91999816894531,2882.699951171875,1.0287804952481898,0.761697977115061,0.989222702965597,1.0,0.996031746031746,0.7658730158730158,0.8650793650793651,0.9007936507936508,1.0,0.996031746031746,0.7658730158730158,C_Stress,-0.014604313396720525,False,0.014205415709404035,0.03354145177924028,0.0665765321630527
2019-08-13,17.520000457763672,18.530000686645508,77.69999694824219,86.33000183105469,112.44000244140625,59.244998931884766,59.59000015258789,2926.320068359375,0.9454937835156294,0.7677872639325335,0.9942104175227436,0.9801587301587301,0.9801587301587301,0.753968253968254,0.6626984126984127,0.623015873015873,0.9801587301587301,0.9801587301587301,0.753968253968254,C_Stress,-0.029292752911742603,False,-0.00881997115517863,0.025496139020459108,0.051416098520574494
